taxid		
1917166	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Thermostichales;Thermostichaceae;Thermostichus;Thermostichus lividus;Thermostichus lividus PCC 6715	k__Bacteria;p__Cyanobacteria;c__;o__Thermostichales;f__Thermostichaceae;g__Thermostichus;s__Thermostichus lividus
395961	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Cyanothecaceae;Cyanothece;unclassified Cyanothece;Cyanothece sp. PCC 7425	k__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Cyanothecaceae;g__Cyanothece;s__Cyanothece sp. PCC 7425
195253	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus;unclassified Synechococcus;Synechococcus sp. PCC 6312	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. PCC 6312
1394889	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pseudanabaenales;Thermosynechococcaceae;Thermosynechococcus;unclassified Thermosynechococcus;Thermosynechococcus sp. NK55a	k__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Thermosynechococcaceae;g__Thermosynechococcus;s__Thermosynechococcus sp. NK55a
1497020	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pseudanabaenales;Leptolyngbyaceae;Neosynechococcus;Neosynechococcus sphagnicola;Neosynechococcus sphagnicola sy1	k__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Neosynechococcus;s__Neosynechococcus sphagnicola
2026770	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae;Nitrospiraceae bacterium	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__;s__Nitrospiraceae bacterium
2486241	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Microcystaceae;Microcystis;Microcystis wesenbergii;Microcystis wesenbergii Mw_MB_S_20031200_S109D	k__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis wesenbergii
60893	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophales;Syntrophaceae;Desulfobacca;Desulfobacca acetoxidans	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophales;f__Syntrophaceae;g__Desulfobacca;s__Desulfobacca acetoxidans
497965	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Gloeothece;Gloeothece verrucosa;Gloeothece verrucosa PCC 7822	k__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Aphanothecaceae;g__Gloeothece;s__Gloeothece verrucosa
195253	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus;unclassified Synechococcus;Synechococcus sp. PCC 6312	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. PCC 6312
1609970	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Candidatus Magnetoovum;Candidatus Magnetoovum chiemensis	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Candidatus Magnetoovum;s__Candidatus Magnetoovum chiemensis
1795632	cellular organisms;Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Thermodesulfatator;Thermodesulfatator autotrophicus	k__Bacteria;p__Thermodesulfobacteria;c__Thermodesulfobacteria;o__Thermodesulfobacteriales;f__Thermodesulfobacteriaceae;g__Thermodesulfatator;s__Thermodesulfatator autotrophicus
1660164	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;unclassified Nitrosomonadales;Nitrosomonadales bacterium SCN 54-20	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__;g__;s__Nitrosomonadales bacterium SCN 54-20
1660164	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;unclassified Nitrosomonadales;Nitrosomonadales bacterium SCN 54-20	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__;g__;s__Nitrosomonadales bacterium SCN 54-20
1866913	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;unclassified Desulfobacterales;Desulfobacterales bacterium C00003104	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__;g__;s__Desulfobacterales bacterium C00003104
1801683	cellular organisms;Bacteria;Nitrospinae/Tectomicrobia group;Nitrospinae;unclassified Nitrospinae;Nitrospinae bacterium RIFCSPLOWO2_01_FULL_39_10	k__Bacteria;p__Nitrospinae;c__;o__;f__;g__;s__Nitrospinae bacterium RIFCSPLOWO2_01_FULL_39_10
1801709	cellular organisms;Bacteria;Nitrospirae;unclassified Nitrospirae;Nitrospirae bacterium RBG_19FT_COMBO_42_15	k__Bacteria;p__Nitrospirae;c__;o__;f__;g__;s__Nitrospirae bacterium RBG_19FT_COMBO_42_15
1082479	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhodovibrionaceae;Limimonas;Limimonas halophila	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhodovibrionaceae;g__Limimonas;s__Limimonas halophila
1233	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosovibrio;Nitrosovibrio tenuis	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosovibrio;s__Nitrosovibrio tenuis
43775	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophales;Syntrophaceae;Syntrophus;Syntrophus gentianae	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__Syntrophus gentianae
1855333	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;unclassified Nitrosospira;Nitrosospira sp. Nsp14	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosospira;s__Nitrosospira sp. Nsp14
1811704	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophorhabdales;Syntrophorhabdaceae;Syntrophorhabdus;unclassified Syntrophorhabdus;Syntrophorhabdus sp. PtaU1.Bin058	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Syntrophorhabdus;s__Syntrophorhabdus sp. PtaU1.Bin058
1570016	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichales incertae sedis;Thioflexithrix;Thioflexithrix psekupsensis	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__;g__Thioflexithrix;s__Thioflexithrix psekupsensis
288004	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Beggiatoa;Beggiatoa leptomitoformis	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Beggiatoa;s__Beggiatoa leptomitoformis
136548	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;unclassified Nitrosospira;Nitrosospira sp. Nsp2	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosospira;s__Nitrosospira sp. Nsp2
2043167	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;unclassified Syntrophobacter;Syntrophobacter sp. SbD1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter;s__Syntrophobacter sp. SbD1
