	seqid	db	taxid	lineage
UniRef100_A0A6B8M5L4	A0A6B8M5L4	uniprot	134	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylocystis
UniRef100_A0A6C1PLV8	A0A6C1PLV8	uniprot	1898206	cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;unclassified Spirochaetaceae
UniRef100_A0A6J4RGB2	A0A6J4RGB2	uniprot	1162706	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;environmental samples
UniRef100_A0A6L5NXU4	A0A6L5NXU4	uniprot	2664453	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;unclassified Shewanella
UniRef100_A0A6L6YHM9	A0A6L6YHM9	uniprot	2565572	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella;unclassified Parasutterella
UniRef100_A0A6M0ERI2	A0A6M0ERI2	uniprot	2607785	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Symploca;unclassified Symploca
UniRef100_A0A6M0F2J9	A0A6M0F2J9	uniprot	2607785	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Symploca;unclassified Symploca
UniRef100_A0A6M0J1M5	A0A6M0J1M5	uniprot	2100146	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Nostoc;unclassified Nostoc
UniRef100_A0A6N8DRJ3	A0A6N8DRJ3	uniprot	1074	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Rhodoblastus
UniRef100_A0A6P1AGD6	A0A6P1AGD6	uniprot	2607808	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Kamptonema;unclassified Kamptonema
UniRef100_A0A6P1ZSX1	A0A6P1ZSX1	uniprot	2047085	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Aphanizomenonaceae;Nodularia;unclassified Nodularia
UniRef100_A0A7C6L0R9	A0A7C6L0R9	uniprot	40549	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacterales Family III. Incertae Sedis;Thermoanaerobacterium;unclassified Thermoanaerobacterium
UniRef100_A0A7G8CA92	A0A7G8CA92	uniprot		
UniRef100_A0A7G8HKP9	A0A7G8HKP9	uniprot	1442554	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus;unclassified Synechococcus
UniRef100_A0A7J0BSE9	A0A7J0BSE9	uniprot	415242	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
UniRef100_A0A7K3NMB1	A0A7K3NMB1	uniprot	63561	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
UniRef100_A0A7M3MEP6	A0A7M3MEP6	uniprot	54767	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Oceanidesulfovibrio
UniRef100_A0A7V9T6F2	A0A7V9T6F2	uniprot	1909295	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Thermoleophilia;Solirubrobacterales;unclassified Solirubrobacterales
UniRef100_A0A831YLW2	A0A831YLW2	uniprot	2282150	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;unclassified Caulobacterales
UniRef100_A0A839T246	A0A839T246	uniprot	69962	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azotobacter group;Azomonas
UniRef100_A0A840G2Z9	A0A840G2Z9	uniprot	1066	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Rhodocyclus
UniRef100_A0A843H6L9	A0A843H6L9	uniprot	66852	cellular organisms;Archaea;Euryarchaeota;Methanomada group;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;unclassified Methanobrevibacter
UniRef100_A0A846EBE6	A0A846EBE6	uniprot	2607799	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Desertifilaceae;Desertifilum;unclassified Desertifilum
UniRef100_A0A856MPK2	A0A856MPK2	uniprot	415709	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Scytonemataceae;Brasilonema;Brasilonema sennae
UniRef100_A0YWZ3	A0YWZ3	uniprot	313612	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Oscillatoriaceae;Lyngbya;unclassified Lyngbya
UniRef100_A3ZA70	A3ZA70	uniprot	221360	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus;unclassified Synechococcus
UniRef100_A6NST6	A6NST6	uniprot	411467	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Pseudoflavonifractor;Pseudoflavonifractor capillosus
UniRef100_B1MA32	B1MA32	uniprot	426355	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium radiotolerans
UniRef100_B2IK17	B2IK17	uniprot	395963	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Beijerinckia;Beijerinckia indica;Beijerinckia indica subsp. indica
UniRef100_B4VJU9	B4VJU9	uniprot	118168	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Coleofasciculaceae;Coleofasciculus;Coleofasciculus chthonoplastes
UniRef100_B4W4L9	B4W4L9	uniprot	118168	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Coleofasciculaceae;Coleofasciculus;Coleofasciculus chthonoplastes
UniRef100_B8ETC0	B8ETC0	uniprot	395965	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocella;Methylocella silvestris
UniRef100_B8HLX2	B8HLX2	uniprot	395961	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Cyanothecaceae;Cyanothece;unclassified Cyanothece
UniRef100_B8HU17	B8HU17	uniprot	395961	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Cyanothecaceae;Cyanothece;unclassified Cyanothece
UniRef100_B9CNP7	B9CNP7	uniprot	553184	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;Lancefieldella rimae
UniRef100_C7H0A6	C7H0A6	uniprot	592031	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Eubacteriales incertae sedis;Eubacteriales Family XIII. Incertae Sedis;[Eubacterium] saphenum
UniRef100_C8W7F5	C8W7F5	uniprot	521095	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;Lancefieldella parvula
UniRef100_D5VKL2	D5VKL2	uniprot	509190	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Caulobacter segnis
UniRef100_D9SLF9	D9SLF9	uniprot	573061	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium cellulovorans
UniRef100_E0U921	E0U921	uniprot	497965	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Gloeothece;Gloeothece verrucosa
UniRef100_F5YIT8	F5YIT8	uniprot	545694	cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema primitia
UniRef100_H5XV67	H5XV67	uniprot	768710	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Desulfitobacteriaceae;Desulfosporosinus;Desulfosporosinus youngiae
UniRef100_H6SS27	H6SS27	uniprot	1150469	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pararhodospirillum;Pararhodospirillum photometricum
UniRef100_I4CB89	I4CB89	uniprot	706587	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophales;Syntrophaceae;Desulfomonile;Desulfomonile tiedjei
UniRef100_K8GJJ9	K8GJJ9	uniprot	864702	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pseudanabaenales;Leptolyngbyaceae;unclassified Leptolyngbyaceae
UniRef100_Q210N1	Q210N1	uniprot	316056	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;Rhodopseudomonas palustris
UniRef100_Q3AI40	Q3AI40	uniprot	110662	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus;unclassified Synechococcus
UniRef100_R6B0P8	R6B0P8	uniprot	1263104	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;environmental samples
UniRef100_R7BNF1	R7BNF1	uniprot	1262877	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella;environmental samples
UniRef100_W1Q6E9	W1Q6E9	uniprot	592010	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;Abiotrophia defectiva
UniRef100_A0A2V6WFK0	A0A2V6WFK0	uniprot	2053607	cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Rokubacteria;unclassified Candidatus Rokubacteria
UniRef100_A0A401TJW7	A0A401TJW7	uniprot	137246	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Chondrichthyes;Elasmobranchii;Selachii;Galeomorphii;Galeoidea;Orectolobiformes;Hemiscylliidae;Chiloscyllium
UniRef100_A0A6P0KDR0	A0A6P0KDR0	uniprot	2607803	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Symploca;unclassified Symploca
UniRef100_A0A6P0YFS0	A0A6P0YFS0	uniprot	2607778	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Oscillatoriaceae;Okeania;unclassified Okeania
UniRef100_A0A6P0YHF9	A0A6P0YHF9	uniprot	2607778	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Oscillatoriaceae;Okeania;unclassified Okeania
UniRef100_A0A1Z4TPU0	A0A1Z4TPU0	uniprot	2005456	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Hapalosiphonaceae;Fischerella;unclassified Fischerella
UniRef100_A0A2K8T9L1	A0A2K8T9L1	uniprot	2038116	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Nostoc;Nostoc flagelliforme
UniRef100_A0A3S0XPS1	A0A3S0XPS1	uniprot	211165	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Chlorogloeopsidaceae;Chlorogloeopsis;Chlorogloeopsis fritschii
UniRef100_B7KGC3	B7KGC3	uniprot	65393	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Gloeothece;Gloeothece citriformis
UniRef100_A0A0C2Q9N9	A0A0C2Q9N9	uniprot	1233231	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Scytonemataceae;Scytonema;Scytonema tolypothrichoides
UniRef100_A0A0M4TS47	A0A0M4TS47	uniprot	224013	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Nostoc;Nostoc piscinale
UniRef100_A0A1U7HNL3	A0A1U7HNL3	uniprot	1921803	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pleurocapsales;Hydrococcaceae;Hydrococcus;Hydrococcus rivularis
UniRef100_A0A1Y0RX98	A0A1Y0RX98	uniprot	1940762	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;unclassified Nostocales
UniRef100_A0A1Z4FYZ0	A0A1Z4FYZ0	uniprot	1954171	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Calotrichaceae;Calothrix;unclassified Calothrix
UniRef100_A0A1Z4IKL9	A0A1Z4IKL9	uniprot	1137095	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Scytonemataceae;Scytonema;unclassified Scytonema
UniRef100_A0A1Z4NNK1	A0A1Z4NNK1	uniprot	2005462	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Calotrichaceae;Calothrix;unclassified Calothrix
UniRef100_A0A1Z4QHU3	A0A1Z4QHU3	uniprot	2005457	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Cylindrospermum;unclassified Cylindrospermum
UniRef100_A0A1Z4R6J8	A0A1Z4R6J8	uniprot	2005461	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Calotrichaceae;Calothrix;unclassified Calothrix
UniRef100_A0A2A2TE09	A0A2A2TE09	uniprot	987040	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Calotrichaceae;Calothrix;Calothrix elsteri
UniRef100_A0A2I8AFK9	A0A2I8AFK9	uniprot	1869241	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Nostoc;unclassified Nostoc
UniRef100_A0A2R5FM75	A0A2R5FM75	uniprot	2005467	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Nostoc;Nostoc commune
UniRef100_A0A2T2RNK1	A0A2T2RNK1	uniprot	1919126	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;unclassified Cyanobacteria
UniRef100_A0A351L2M0	A0A351L2M0	uniprot	2055770	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;unclassified Cyanobacteria
UniRef100_A0A352AL50	A0A352AL50	uniprot	2055791	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;unclassified Cyanobacteria
UniRef100_A0A367QWB6	A0A367QWB6	uniprot	1844469	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Nostoc;Nostoc minutum
UniRef100_A0A3C0N2D1	A0A3C0N2D1	uniprot	2055766	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;unclassified Cyanobacteria
UniRef100_A0A3D1PAW1	A0A3D1PAW1	uniprot	2055787	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;unclassified Cyanobacteria
UniRef100_A0A3M1L151	A0A3M1L151	uniprot	2420336	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;unclassified Cyanobacteria
UniRef100_A0A538KHX2	A0A538KHX2	uniprot	1883427	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;unclassified Actinomycetia
UniRef100_A0A654SMR3	A0A654SMR3	uniprot	75695	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Aphanizomenonaceae;Chrysosporum
UniRef100_A0A6B3MFP3	A0A6B3MFP3	uniprot	2607812	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Symploca;unclassified Symploca
UniRef100_A0A6J4RF88	A0A6J4RF88	uniprot	1162706	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;environmental samples
UniRef100_A0A6J4RR10	A0A6J4RR10	uniprot	1162706	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;environmental samples
UniRef100_A0A6J4S2B3	A0A6J4S2B3	uniprot	1162706	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;environmental samples
UniRef100_A0A6J4SEA1	A0A6J4SEA1	uniprot	1162706	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;environmental samples
UniRef100_A0A6J4SR88	A0A6J4SR88	uniprot	768556	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Thermoleophilia;Solirubrobacterales;environmental samples
UniRef100_A0A6M0EUV2	A0A6M0EUV2	uniprot	2607785	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Symploca;unclassified Symploca
UniRef100_A0A6P1AF84	A0A6P1AF84	uniprot	2607808	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Kamptonema;unclassified Kamptonema
UniRef100_A0A6P1ZP13	A0A6P1ZP13	uniprot	2047085	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Aphanizomenonaceae;Nodularia;unclassified Nodularia
UniRef100_A0A7S6RCV5	A0A7S6RCV5	uniprot	2779889	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Aphanizomenonaceae;Anabaenopsis;Anabaenopsis elenkinii
UniRef100_A0A7W0THA8	A0A7W0THA8	uniprot	1909295	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Thermoleophilia;Solirubrobacterales;unclassified Solirubrobacterales
UniRef100_A0A844MCK3	A0A844MCK3	uniprot	2304196	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Scytonemataceae;Scytonema;unclassified Scytonema
UniRef100_A0A844MSQ9	A0A844MSQ9	uniprot	2304196	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Scytonemataceae;Scytonema;unclassified Scytonema
UniRef100_A0A846H697	A0A846H697	uniprot	1304833	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Tolypothrichaceae;Hassalia;Hassallia byssoidea
UniRef100_A0A856MMY5	A0A856MMY5	uniprot	415709	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Scytonemataceae;Brasilonema;Brasilonema sennae
UniRef100_A0ZAK8	A0ZAK8	uniprot	313624	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Aphanizomenonaceae;Nodularia;Nodularia spumigena
UniRef100_B1WQM7	B1WQM7	uniprot	43989	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Crocosphaera;Crocosphaera subtropica
UniRef100_B4VZK5	B4VZK5	uniprot	118168	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Coleofasciculaceae;Coleofasciculus;Coleofasciculus chthonoplastes
UniRef100_B7K019	B7K019	uniprot	41431	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Rippkaea;Rippkaea orientalis
UniRef100_B7KE56	B7KE56	uniprot	65393	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Gloeothece;Gloeothece citriformis
UniRef100_D7DWV0	D7DWV0	uniprot	551115	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Trichormus;Trichormus azollae
UniRef100_E0U924	E0U924	uniprot	497965	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Gloeothece;Gloeothece verrucosa
UniRef100_K9R0N1	K9R0N1	uniprot	28072	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Nostoc;unclassified Nostoc
UniRef100_K9X7Z1	K9X7Z1	uniprot	56107	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Cylindrospermum;Cylindrospermum stagnale
UniRef100_Q3M2X7	Q3M2X7	uniprot	240292	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Trichormus;Anabaena variabilis
UniRef100_A0A0P7XXI7	A0A0P7XXI7	uniprot	1666918	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified Rhodobacteraceae
UniRef100_A0A485CLF8	A0A485CLF8	uniprot	580	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera
UniRef100_A0A661PMJ7	A0A661PMJ7	uniprot	2026735	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria
UniRef100_A0A351KX86	A0A351KX86	uniprot	2055770	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;unclassified Cyanobacteria
UniRef100_A0A355DTY6	A0A355DTY6	uniprot	2055781	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;unclassified Cyanobacteria
UniRef100_A0A1Q4RV65	A0A1Q4RV65	uniprot	1137096	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Calotrichaceae;Calothrix;unclassified Calothrix
UniRef100_A0A348RZ36	A0A348RZ36	uniprot	2026801	cellular organisms;Bacteria;PVC group;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;unclassified Verrucomicrobiales
UniRef100_A0A536AX33	A0A536AX33	uniprot	2026724	cellular organisms;Bacteria;Terrabacteria group;Chloroflexi;unclassified Chloroflexi
UniRef100_A0A838VNF3	A0A838VNF3	uniprot	2723028	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;unclassified Nostocaceae
UniRef100_A0A0S3UCN3	A0A0S3UCN3	uniprot	1752064	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pseudanabaenales;Leptolyngbyaceae;Leptolyngbya;unclassified Leptolyngbya
UniRef100_A0A841V906	A0A841V906	uniprot	2755316	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Microcystaceae;Microcystis;Microcystis aeruginosa
UniRef100_E0UKP5	E0UKP5	uniprot	497965	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Gloeothece;Gloeothece verrucosa
UniRef100_A0A1E8EYI9	A0A1E8EYI9	uniprot	1121290	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium acetireducens
UniRef100_A0A1G7UG50	A0A1G7UG50	uniprot	1121419	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Desulfitobacteriaceae;Desulfosporosinus;Desulfosporosinus hippei
UniRef100_A0A1H3MDK4	A0A1H3MDK4	uniprot	159292	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Tindallia
UniRef100_A0A1J1CTN7	A0A1J1CTN7	uniprot	1509	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium
UniRef100_A0A2G6CKA1	A0A2G6CKA1	uniprot	1977087	cellular organisms;Bacteria;Proteobacteria;unclassified Proteobacteria
UniRef100_A0A2G6FCK7	A0A2G6FCK7	uniprot	894	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus
UniRef100_A0A2M7KLA2	A0A2M7KLA2	uniprot	1973912	cellular organisms;Bacteria;Terrabacteria group;Armatimonadetes;unclassified Armatimonadetes
UniRef100_A0A2U3L812	A0A2U3L812	uniprot	2043167	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;unclassified Syntrophobacter
UniRef100_A0A3D1UCM0	A0A3D1UCM0	uniprot	2026799	cellular organisms;Bacteria;PVC group;Verrucomicrobia;unclassified Verrucomicrobia
UniRef100_A0A424Y428	A0A424Y428	uniprot	2293856	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Tindallia;unclassified Tindallia
