	seqid	db	taxid	lineage	lineage_taxonkit	k	p	c	o	f	g	s	p_r
UniRef100_Q2RQJ9	Q2RQJ9	uniprot	269796.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum;Rhodospirillum rubrum	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Rhodospirillum;s__Rhodospirillum rubrum	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillum	Rhodospirillum rubrum	Proteobacteria
UniRef100_A0A841V7F9	A0A841V7F9	uniprot	2755316.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Microcystaceae;Microcystis;Microcystis aeruginosa	k__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa	Bacteria	Cyanobacteria	NA	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa	Cyanobacteria
UniRef100_E0U939	E0U939	uniprot	497965.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Gloeothece;Gloeothece verrucosa	k__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Aphanothecaceae;g__Gloeothece;s__Gloeothece verrucosa	Bacteria	Cyanobacteria	NA	Chroococcales	Aphanothecaceae	Gloeothece	Gloeothece verrucosa	Cyanobacteria
UniRef100_A0A0K9I8D3	A0A0K9I8D3	uniprot	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UniRef100_A0A1T4W2T1	A0A1T4W2T1	uniprot	1121449.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Paucidesulfovibrio;Paucidesulfovibrio gracilis	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Paucidesulfovibrio;s__Paucidesulfovibrio gracilis	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Paucidesulfovibrio	Paucidesulfovibrio gracilis	Proteobacteria
UniRef100_A0A2G6N8U9	A0A2G6N8U9	uniprot	2026735.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__Deltaproteobacteria bacterium	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	Deltaproteobacteria bacterium	Proteobacteria
UniRef100_A0A661T116	A0A661T116	uniprot	2026735.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__Deltaproteobacteria bacterium	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	Deltaproteobacteria bacterium	Proteobacteria
UniRef100_A0A7Z9XS97	A0A7Z9XS97	uniprot	2049432.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;unclassified Chromatiaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__Chromatiaceae bacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	NA	Chromatiaceae bacterium	Proteobacteria
UniRef100_E1QED3	E1QED3	uniprot	644282.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfarculales;Desulfarculaceae;Desulfarculus;Desulfarculus baarsii	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfarculales;f__Desulfarculaceae;g__Desulfarculus;s__Desulfarculus baarsii	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfarculus	Desulfarculus baarsii	Proteobacteria
UniRef100_Q315V5	Q315V5	uniprot	207559.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Oleidesulfovibrio;Oleidesulfovibrio alaskensis	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Oleidesulfovibrio;s__Oleidesulfovibrio alaskensis	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Oleidesulfovibrio	Oleidesulfovibrio alaskensis	Proteobacteria
UniRef100_A0A017H2Y2	A0A017H2Y2	uniprot	1226633.0	cellular organisms;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium necrophorum;Fusobacterium necrophorum subsp. funduliforme	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium necrophorum	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum	Fusobacteria
UniRef100_A0A1E8EYV7	A0A1E8EYV7	uniprot	1121290.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium acetireducens	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium acetireducens	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium acetireducens	Bacillota
UniRef100_A0A1H3MD70	A0A1H3MD70	uniprot	159292.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Tindallia	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Tindallia;s__Tindallia californiensis	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Tindallia	Tindallia californiensis	Bacillota
UniRef100_A0A5N7IIZ2	A0A5N7IIZ2	uniprot	238834.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium estertheticum	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium estertheticum	Bacillota
UniRef100_A0A7L6AU09	A0A7L6AU09	uniprot	2799669.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiothrix	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__Candidatus Thiothrix singaporensis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix	Candidatus Thiothrix singaporensis	Proteobacteria
UniRef100_A0A1U7M7F2	A0A1U7M7F2	uniprot	1123403.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;Tissierellales;Tissierellaceae;Tissierella;Tissierella creatinophila	k__Bacteria;p__Bacillota;c__Tissierellia;o__Tissierellales;f__Tissierellaceae;g__Tissierella;s__Tissierella creatinophila	Bacteria	Bacillota	Tissierellia	Tissierellales	Tissierellaceae	Tissierella	Tissierella creatinophila	Bacillota
UniRef100_A0A231P312	A0A231P312	uniprot	1899016.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;unclassified Desulfovibrio	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio sp. MES5	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio sp. MES5	Proteobacteria
UniRef100_A0A3D8YX63	A0A3D8YX63	uniprot	2282866.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina;unclassified Sporosarcina	k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Sporosarcina;s__Sporosarcina sp. BI001-red	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Sporosarcina	Sporosarcina sp. BI001-red	Bacillota
UniRef100_A0A6P1HK34	A0A6P1HK34	uniprot	2692425.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Bacillaceae;Pontibacillus;unclassified Pontibacillus	k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Pontibacillus;s__Pontibacillus sp. HMF3514	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Pontibacillus	Pontibacillus sp. HMF3514	Bacillota
UniRef100_A0A1Q4RTZ3	A0A1Q4RTZ3	uniprot	1137096.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Calotrichaceae;Calothrix;unclassified Calothrix	k__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Calotrichaceae;g__Calothrix;s__Calothrix sp. HK-06	Bacteria	Cyanobacteria	NA	Nostocales	Calotrichaceae	Calothrix	Calothrix sp. HK-06	Cyanobacteria
UniRef100_A0A3S1ISS5	A0A3S1ISS5	uniprot	232991.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Calotrichaceae;Dulcicalothrix;Dulcicalothrix desertica	k__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Calotrichaceae;g__Dulcicalothrix;s__Dulcicalothrix desertica	Bacteria	Cyanobacteria	NA	Nostocales	Calotrichaceae	Dulcicalothrix	Dulcicalothrix desertica	Cyanobacteria
UniRef100_A0A0S3UCN9	A0A0S3UCN9	uniprot	1752064.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pseudanabaenales;Leptolyngbyaceae;Leptolyngbya;unclassified Leptolyngbya	k__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Leptolyngbya;s__Leptolyngbya sp. NIES-3755	Bacteria	Cyanobacteria	NA	Pseudanabaenales	Leptolyngbyaceae	Leptolyngbya	Leptolyngbya sp. NIES-3755	Cyanobacteria
UniRef100_A0A2T5G0I5	A0A2T5G0I5	uniprot	1735121.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas oleivorans	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas oleivorans	Proteobacteria
UniRef100_B4W4L8	B4W4L8	uniprot	118168.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Coleofasciculaceae;Coleofasciculus;Coleofasciculus chthonoplastes	k__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Coleofasciculaceae;g__Coleofasciculus;s__Coleofasciculus chthonoplastes	Bacteria	Cyanobacteria	NA	Oscillatoriales	Coleofasciculaceae	Coleofasciculus	Coleofasciculus chthonoplastes	Cyanobacteria
UniRef100_B7KE60	B7KE60	uniprot	65393.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Gloeothece;Gloeothece citriformis	k__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Aphanothecaceae;g__Gloeothece;s__Gloeothece citriformis	Bacteria	Cyanobacteria	NA	Chroococcales	Aphanothecaceae	Gloeothece	Gloeothece citriformis	Cyanobacteria
UniRef100_A0A128EFD5	A0A128EFD5	uniprot	1780362.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter geochelonis	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter geochelonis	Proteobacteria
UniRef100_A0A329ZIL6	A0A329ZIL6	uniprot	2004998.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;unclassified Helicobacter	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter sp. 10-6591	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter sp. 10-6591	Proteobacteria
UniRef100_A0A3D8IDA0	A0A3D8IDA0	uniprot	60246.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter ganmani	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter ganmani	Proteobacteria
UniRef100_A0A5B7X8E9	A0A5B7X8E9	uniprot	1032070.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae;Aliarcobacter;Aliarcobacter cryaerophilus	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter cryaerophilus	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter cryaerophilus	Proteobacteria
UniRef100_A0A7M1LGN0	A0A7M1LGN0	uniprot	1448857.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter corcagiensis	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter corcagiensis	Proteobacteria
UniRef100_A0A2U3L821	A0A2U3L821	uniprot	2043167.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;unclassified Syntrophobacter	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter;s__Syntrophobacter sp. SbD1	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter	Syntrophobacter sp. SbD1	Proteobacteria
UniRef100_A0A6J4XAY3	A0A6J4XAY3	uniprot	698986.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__Olavius sp. associated proteobacterium Delta 1	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	Olavius sp. associated proteobacterium Delta 1	Proteobacteria
UniRef100_A0A0X8JQ54	A0A0X8JQ54	uniprot	888061.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfomicrobiaceae;Desulfomicrobium;Desulfomicrobium orale	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium orale	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium	Desulfomicrobium orale	Proteobacteria
UniRef100_A0A1G6EW64	A0A1G6EW64	uniprot	617002.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfonatronaceae;Desulfonatronum	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfonatronaceae;g__Desulfonatronum;s__Desulfonatronum thiosulfatophilum	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfonatronaceae	Desulfonatronum	Desulfonatronum thiosulfatophilum	Proteobacteria
UniRef100_A0A2T5C9B6	A0A2T5C9B6	uniprot	2109626.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfonatronaceae;Desulfonatronum;unclassified Desulfonatronum	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfonatronaceae;g__Desulfonatronum;s__Desulfonatronum sp. SC1	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfonatronaceae	Desulfonatronum	Desulfonatronum sp. SC1	Proteobacteria
UniRef100_A0A523A891	A0A523A891	uniprot	2053307.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;unclassified Desulfobulbaceae	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__;s__Desulfobulbaceae bacterium	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	NA	Desulfobulbaceae bacterium	Proteobacteria
UniRef100_A0A7C5FW56	A0A7C5FW56	uniprot	2033014.0	cellular organisms;Bacteria;Terrabacteria group;Armatimonadetes;unclassified Armatimonadetes	k__Bacteria;p__Armatimonadetes;c__;o__;f__;g__;s__Armatimonadetes bacterium	Bacteria	Armatimonadetes	NA	NA	NA	NA	Armatimonadetes bacterium	Other
UniRef100_A0A7V4XH14	A0A7V4XH14	uniprot	2033014.0	cellular organisms;Bacteria;Terrabacteria group;Armatimonadetes;unclassified Armatimonadetes	k__Bacteria;p__Armatimonadetes;c__;o__;f__;g__;s__Armatimonadetes bacterium	Bacteria	Armatimonadetes	NA	NA	NA	NA	Armatimonadetes bacterium	Other
UniRef100_A0A1X9LDH0	A0A1X9LDH0	uniprot	1903187.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Microcystaceae;Microcystis;Microcystis aeruginosa;Microcystis aeruginosa PCC 7806	k__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa	Bacteria	Cyanobacteria	NA	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa	Cyanobacteria
UniRef100_E0UKP8	E0UKP8	uniprot	497965.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Gloeothece;Gloeothece verrucosa	k__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Aphanothecaceae;g__Gloeothece;s__Gloeothece verrucosa	Bacteria	Cyanobacteria	NA	Chroococcales	Aphanothecaceae	Gloeothece	Gloeothece verrucosa	Cyanobacteria
UniRef100_A0A1T4W1Y9	A0A1T4W1Y9	uniprot	1121449.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Paucidesulfovibrio;Paucidesulfovibrio gracilis	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Paucidesulfovibrio;s__Paucidesulfovibrio gracilis	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Paucidesulfovibrio	Paucidesulfovibrio gracilis	Proteobacteria
UniRef100_A0A7Y8MR09	A0A7Y8MR09	uniprot	1913988.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;unclassified Alphaproteobacteria	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	Alphaproteobacteria bacterium	Proteobacteria
UniRef100_A0A522UX08	A0A522UX08	uniprot	2026887.0	cellular organisms;Bacteria;Nitrospirae;unclassified Nitrospirae	k__Bacteria;p__Nitrospirae;c__;o__;f__;g__;s__Nitrospirae bacterium	Bacteria	Nitrospirae	NA	NA	NA	NA	Nitrospirae bacterium	Nitrospirae
UniRef100_A0A6I1EQ72	A0A6I1EQ72	uniprot	1944635.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella seckii	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella seckii	Proteobacteria
UniRef100_R7KRS5	R7KRS5	uniprot	1262977.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;environmental samples	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella sp. CAG:521	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella sp. CAG:521	Proteobacteria
UniRef100_A0A348YNR3	A0A348YNR3	uniprot	2053620.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;unclassified Succinivibrionaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__;s__Succinivibrionaceae bacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	NA	Succinivibrionaceae bacterium	Proteobacteria
UniRef100_D5C0X9	D5C0X9	uniprot	472759.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus;Nitrosococcus halophilus	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Nitrosococcus;s__Nitrosococcus halophilus	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus	Nitrosococcus halophilus	Proteobacteria
UniRef100_F5YIT7	F5YIT7	uniprot	545694.0	cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema primitia	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;s__Treponema primitia	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema primitia	Spirochaetes
UniRef100_A0A3D3CJH3	A0A3D3CJH3	uniprot	2053624.0	cellular organisms;Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;unclassified Synergistaceae	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae;g__;s__Synergistaceae bacterium	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	NA	Synergistaceae bacterium	Other
UniRef100_H0UJM9	H0UJM9	uniprot	885272.0	cellular organisms;Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Jonquetella;Jonquetella anthropi	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Jonquetella;s__Jonquetella anthropi	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Jonquetella	Jonquetella anthropi	Other
UniRef100_A0A3D1UE04	A0A3D1UE04	uniprot	2026799.0	cellular organisms;Bacteria;PVC group;Verrucomicrobia;unclassified Verrucomicrobia	k__Bacteria;p__Verrucomicrobia;c__;o__;f__;g__;s__Verrucomicrobia bacterium	Bacteria	Verrucomicrobia	NA	NA	NA	NA	Verrucomicrobia bacterium	Other
UniRef100_A0A7Y7D303	A0A7Y7D303	uniprot	2052174.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;unclassified Methylocystaceae	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylocystaceae;g__;s__Methylocystaceae bacterium	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	NA	Methylocystaceae bacterium	Proteobacteria
UniRef100_A0A7W7Y3P5	A0A7W7Y3P5	uniprot	682562.0	cellular organisms;Bacteria;Chrysiogenetes;Chrysiogenetes;Chrysiogenales;Chrysiogenaceae;Desulfurispira	k__Bacteria;p__Chrysiogenetes;c__Chrysiogenetes;o__Chrysiogenales;f__Chrysiogenaceae;g__Desulfurispira;s__Desulfurispira natronophila	Bacteria	Chrysiogenetes	Chrysiogenetes	Chrysiogenales	Chrysiogenaceae	Desulfurispira	Desulfurispira natronophila	Other
UniRef100_A0A0B0Q544	A0A0B0Q544	uniprot	1565314.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Sulfurospirillaceae;Sulfurospirillum;unclassified Sulfurospirillum	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;s__Sulfurospirillum sp. MES	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum	Sulfurospirillum sp. MES	Proteobacteria
UniRef100_A0A0D2GKP7	A0A0D2GKP7	uniprot	1429043.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfarculales;Desulfarculaceae;Dethiosulfatarculus	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfarculales;f__Desulfarculaceae;g__Dethiosulfatarculus;s__Dethiosulfatarculus sandiegensis	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Dethiosulfatarculus	Dethiosulfatarculus sandiegensis	Proteobacteria
UniRef100_A0A1G6X0G3	A0A1G6X0G3	uniprot	57664.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__Desulfuromonas thiophila	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas	Desulfuromonas thiophila	Proteobacteria
